family,start_googleTrend,start_articles
Locky,2/1/2016,
CryptXXX,4/1/2016,
CryptoLocker,9/1/2013,
DMALockerv3,1/1/2016,
CryptoTorLocker2015,2/1/2015,
Globe,4/1/2013,
SamSam,1/1/2016,
EDA2,,9/1/2015
NoobCrypt,,12/1/2015
Flyper,,9/1/2016
Globev3,,1/1/2017
JigSaw,4/1/2016,
Cryptohitman,5/1/2016,
TowerWeb,,6/1/2016
CryptConsole,,9/1/2017
WannaCry,5/1/2017,
VenusLocker,7/1/2016,
XTPLocker 5.0,10/1/2016,
XLockerV5,,
APT,4/1/2014,
7ev3n,1/1/2016,
Bucbi,5/1/2016,
Chimera,9/1/2015,
ComradeCircle,,10/1/2016
CryptoHost,,4/1/2016
CTB-Locker,7/1/2014,
DMALocker,1/1/2016,
Exotic,10/1/2015,
GlobeImposter,1/1/2017,
NotPetya,6/1/2017,
NullByte,11/1/2016,
Phoenix,,12/1/2016
PopCornTime,3/1/2016,
Razy,,7/1/2016
Sam,,
TeslaCrypt,3/1/2015,
XLocker,,
Xorist,6/1/2013,
